"post_doc","location","salary","h_index","field"
"n","int",98998.2908087753,21.8296137586355,"humanities"
"y","us",89761.8150019599,15.4677606465895,"humanities"
"y","int",115009.905766066,19.5511471225585,"humanities"
"n","us",87236.145916881,12.6309154830722,"humanities"
"y","int",139597.104040581,14.487354058864,"humanities"
"y","int",128085.796430537,13.4529975077415,"humanities"
"n","int",86982.7849326875,11.9231396922256,"humanities"
"n","int",108130.868643594,14.5544275042998,"humanities"
"y","int",112844.654735158,14.3619262833761,"humanities"
"y","int",102210.293920418,16.7504181750368,"humanities"
"y","us",73225.6421872806,8.74874686549969,"humanities"
"y","us",99038.381914565,22.7773168172291,"humanities"
"n","int",78731.9139145506,11.3957607698689,"humanities"
"y","int",84908.5975961155,16.3382080651123,"humanities"
"y","us",123439.749937439,17.7493421613956,"humanities"
"y","int",127065.356830191,16.0164243967457,"humanities"
"y","int",96178.2346930483,12.4567655491351,"humanities"
"y","int",94635.4524320678,12.6634525288889,"humanities"
"n","int",74694.6122623733,9.84935147524471,"humanities"
"y","int",109587.357058241,14.8422194058462,"humanities"
"y","int",147356.159589158,11.333575386963,"humanities"
"y","int",98489.6184403054,20.4457802875943,"humanities"
"y","us",110456.258382376,24.6487835197548,"humanities"
"n","us",50027.8253775152,13.9339472942959,"humanities"
"y","us",112173.907620773,20.423249128965,"humanities"
"n","us",40020.9590878292,14.3737019489692,"humanities"
"y","us",95315.5533023603,11.3115026595619,"humanities"
"y","us",72200.5634477331,8.96371064929013,"humanities"
"y","us",111353.164001334,7.12627817294873,"humanities"
"y","int",165036.622969094,13.6774140948714,"humanities"
"n","us",96111.373540382,21.9258142033008,"humanities"
"y","us",97135.9174273535,16.6894037110443,"humanities"
"n","int",79669.0858856274,18.2904954219213,"humanities"
"n","us",88800.0793302134,14.7577236709564,"humanities"
"y","int",133992.814737146,17.6478402420433,"humanities"
"y","int",118243.414779542,15.2366382010865,"humanities"
"n","int",99088.917509628,10.9618581064108,"humanities"
"n","int",57356.7809519336,9.59355772097478,"humanities"
"n","us",62704.4650725681,12.3284112797545,"humanities"
"y","us",81049.0631588909,10.3824067617209,"humanities"
"y","int",117413.283309789,17.0511723738063,"humanities"
"y","us",88424.1216527773,11.3889018449354,"humanities"
"y","us",101262.051020485,11.0691689216538,"humanities"
"y","us",116623.487004217,13.5582535245228,"humanities"
"y","us",114808.308439713,13.5658382371572,"humanities"
"y","us",87251.5664610283,8.443481959882,"humanities"
"y","int",110766.83961796,13.2339159992296,"humanities"
"n","us",100399.323830461,18.9984324983206,"humanities"
"n","int",69828.9757544714,13.5102912167217,"humanities"
"n","us",83543.708930198,9.4942386782967,"humanities"
"n","us",60400.2897404919,14.6060735498084,"humanities"
"n","int",74538.6797551886,20.3044819292803,"humanities"
"n","int",70985.8048875995,21.7877274015472,"humanities"
"y","int",130093.965360715,12.7494494808373,"humanities"
"y","us",124416.124682114,20.9645576051992,"humanities"
"y","int",72859.1653826341,21.6027182707335,"humanities"
"y","int",145012.191705731,24.7039615723144,"humanities"
"y","int",133098.528335505,14.2704421635037,"humanities"
"y","int",108449.817314998,25.9406345423772,"humanities"
"y","int",139795.508019701,14.3116418740279,"humanities"
"n","int",98975.2899845501,14.6039660763052,"humanities"
"y","int",104772.365482421,12.1246187315097,"humanities"
"n","int",100564.639155283,16.9678021360151,"humanities"
"y","int",101461.08116483,15.0817581749,"humanities"
"y","int",98344.9854073733,16.2067353323644,"humanities"
"n","us",93186.6868465803,16.7080866695661,"humanities"
"y","us",157486.196750891,13.9195588700356,"humanities"
"n","us",84700.8691152243,21.7288564808403,"humanities"
"y","us",116045.223796083,11.1693203733934,"humanities"
"n","us",101381.647996474,14.3756526137808,"humanities"
"n","int",92780.4991316312,19.2427687014553,"humanities"
"n","int",85289.7149135206,14.1883969626146,"humanities"
"y","int",98796.9391447258,10.0400275785235,"humanities"
"y","int",130315.927781423,14.5046421224882,"humanities"
"y","int",86194.4679756571,19.9794727927677,"humanities"
"n","int",94899.1338629693,21.5823382246074,"humanities"
"y","int",85222.8513953309,14.4093799551991,"humanities"
"y","int",111779.620242575,12.6711432654912,"humanities"
"y","us",118381.068646595,17.5115203915484,"humanities"
"n","int",86310.5448476133,13.0570028975091,"humanities"
"n","int",77435.6795411599,15.0280489064682,"humanities"
"y","int",134584.563592543,8.40523177981821,"humanities"
"n","us",101160.707853152,13.3084528164762,"humanities"
"y","us",129804.617367793,5.82708388003741,"humanities"
"y","us",95069.5612971586,6.37544299020763,"humanities"
"y","us",103383.452414168,21.3873149316776,"humanities"
"y","us",81775.0664728196,12.0252392632623,"humanities"
"n","int",113517.154373873,20.6611601473846,"humanities"
"y","int",90076.9955043362,19.3961775511183,"humanities"
"n","int",79724.3065541558,9.28151623344867,"humanities"
"n","int",105483.994275312,21.3335816061622,"humanities"
"y","int",99548.610458733,14.5993342334987,"humanities"
"n","int",73507.1549992497,17.5633241462889,"humanities"
"y","us",93147.4964814219,14.0543625747992,"humanities"
"n","us",112614.667995621,21.0783036157265,"humanities"
"y","us",94843.4663609333,11.8722045670446,"humanities"
"n","int",102271.45325912,15.7558543377041,"humanities"
"y","us",97799.0026516698,14.6438008352054,"humanities"
"n","us",65667.2486240224,12.5863627056369,"humanities"
"y","us",139581.06311178,18.215056349591,"humanities"
"n","int",63696.3163488427,20.6350586950118,"humanities"
"n","int",67732.395435136,13.3178745224578,"humanities"
"n","us",71815.1400162384,18.9105194467771,"humanities"
"n","int",92009.741517172,15.5106536764559,"humanities"
"n","us",73236.6140600915,15.6157605269419,"humanities"
"n","us",119500.382186211,16.1310208742255,"humanities"
"y","us",118170.277156076,12.5592797174325,"humanities"
"n","us",76818.039475251,13.4313287827563,"humanities"
"n","int",86854.6571972218,25.2742480207306,"humanities"
"y","us",110863.874119549,14.4416274091299,"humanities"
"n","int",66350.4489788754,18.5667341407219,"humanities"
"n","int",80347.4834110017,13.0054063713159,"humanities"
"y","us",139009.730975852,15.1183215980971,"humanities"
"y","us",122450.806115361,17.5542032940735,"humanities"
"y","us",91279.7064347802,20.2199902486107,"humanities"
"n","us",87287.6921121876,8.8705522226285,"humanities"
"y","us",105484.009956333,15.7997149447826,"humanities"
"n","int",73774.4419443026,16.8289405688518,"humanities"
"n","int",56143.6455521474,11.8116216080057,"humanities"
"n","us",67375.4737161427,12.6992112750731,"humanities"
"y","us",98884.9635643739,14.264185935734,"humanities"
"n","int",64318.0106199981,8.88396361325213,"humanities"
"y","int",103882.915161085,22.3054627761885,"humanities"
"y","int",125658.684988871,15.4728431763402,"humanities"
"y","us",128376.560992845,14.8530413630297,"humanities"
"n","us",102141.696025169,10.0131360964868,"humanities"
"y","us",99876.5201506575,24.9355245420403,"humanities"
"n","int",67554.0258213001,8.642539549095,"humanities"
"n","int",140247.324961289,17.2003940108341,"humanities"
"n","us",141156.351565861,17.0187350710448,"humanities"
"y","int",92021.7106966382,20.521203379572,"humanities"
"y","int",123542.779790826,9.24860965181245,"humanities"
"n","int",85753.6848587947,12.1087993492098,"humanities"
"n","us",76916.4055234713,15.7682984360112,"humanities"
"y","us",97672.1145909704,15.2074197331574,"humanities"
"n","us",85861.3722629768,13.2741282785923,"humanities"
"y","us",82774.6630705527,17.3076681090893,"humanities"
"y","us",121279.056092966,17.4057235902378,"humanities"
"y","us",130152.178506881,13.5855201897427,"humanities"
"n","int",102357.342445748,19.0011273378641,"humanities"
"y","int",90187.7332024793,8.80815179229533,"humanities"
"y","int",115627.618520073,23.0776590588083,"humanities"
"y","us",90601.9375409826,14.7128028894537,"humanities"
"n","us",93616.2342208142,17.7816511566804,"humanities"
"y","us",105683.189476647,24.1933313239659,"humanities"
"y","int",142859.694192795,14.5795187581591,"humanities"
"n","int",93829.7699025139,18.6429138157343,"humanities"
"y","int",112718.688922983,17.2091463682888,"humanities"
"y","us",117494.423045854,15.9086259426013,"humanities"
"n","int",93792.8553122467,15.7041512795721,"humanities"
"y","us",98344.5096562325,16.8090858308985,"humanities"
"y","us",112793.604010454,13.9711476091394,"humanities"
"n","us",92056.9958380808,8.94952432281573,"humanities"
"n","us",40087.1176723825,11.9676841229802,"humanities"
"n","us",96717.1705289819,11.8824943624918,"humanities"
"n","us",98687.5801826602,12.1933142888751,"humanities"
"y","int",121472.626009682,16.0786749765863,"humanities"
"n","int",91295.0882016752,16.3329665088361,"humanities"
"n","us",80315.5901051101,13.4034457193354,"humanities"
"y","us",94549.9686234449,14.9149626749076,"humanities"
"y","int",106353.970701611,16.5471474915473,"humanities"
"y","int",106553.539440893,17.1403742585267,"humanities"
"n","int",50916.7922908447,15.0050133175755,"humanities"
"n","us",79623.0220653274,7.21249213253208,"humanities"
"n","int",103891.703388705,16.6396988505934,"humanities"
"y","us",118746.766960615,11.7700118362369,"humanities"
"n","int",106927.63402304,20.9936319923803,"humanities"
"n","int",90216.5382246797,12.1647199775374,"humanities"
"y","us",115301.946513292,12.0350136399072,"humanities"
"y","int",119186.68684658,14.6026478038164,"humanities"
"y","int",85619.4925068291,15.856264645864,"humanities"
"y","us",125728.714023423,9.95412933606292,"humanities"
"n","int",130826.023151745,12.3086224963984,"humanities"
"n","us",56377.6135782881,16.4786832773944,"humanities"
"n","int",92163.604350642,10.7946740554866,"humanities"
"n","int",79668.7660885322,15.947623986359,"humanities"
"n","us",82580.6973405432,14.5998716535253,"humanities"
"n","us",89207.5258081388,10.0989435004774,"humanities"
"n","us",69658.153745797,16.1711610102515,"humanities"
"y","us",127763.557803174,12.2271796760095,"humanities"
"n","us",62536.2594887801,14.7022574156273,"humanities"
"n","int",64937.0119324645,17.3908228699019,"humanities"
"n","int",80773.3472623264,14.9262052902352,"humanities"
"y","us",121076.181727394,20.1007883668129,"humanities"
"n","int",100553.709251135,13.2762607380793,"humanities"
"n","int",98842.0749327727,17.0206727804751,"humanities"
"n","us",67043.7550048352,8.49431679655534,"humanities"
"n","int",121121.273544765,19.0042737539869,"humanities"
"n","us",95956.4148101936,11.0606958865089,"humanities"
"y","us",73535.5120733102,18.4629547819978,"humanities"
"n","us",76327.1429270638,22.6534237054127,"humanities"
"y","int",110664.485084826,7.12617556091907,"humanities"
"n","us",73430.1194528911,16.768503210485,"humanities"
"n","int",98642.1557963884,17.2203273830787,"humanities"
"n","us",43691.2088881543,9.57989174550372,"humanities"
"y","us",141803.536433067,19.7109347249428,"humanities"
"y","int",109895.837916917,14.973034397648,"humanities"
"n","int",97477.5825244506,14.3276606286232,"humanities"
"y","us",85730.9160886169,9.227285632156,"humanities"
"y","int",121847.186701598,22.8494448950256,"humanities"
"n","int",123401.567320823,23.0827529545393,"humanities"
"n","us",88494.9888397243,14.4649256044164,"humanities"
"n","int",71387.5041136193,7.79306416109282,"humanities"
"n","int",91395.3576073746,14.9249270653872,"humanities"
"y","us",107378.217686201,19.2384494804788,"humanities"
"n","us",86552.1944821963,16.7455132053206,"humanities"
"y","int",126630.352081004,21.409296155719,"humanities"
"n","us",81738.0379581638,12.5596320898569,"humanities"
"y","int",84481.5053138115,13.5778863173343,"humanities"
"y","int",104387.75890746,13.2547630750638,"humanities"
"y","int",123499.349963915,7.69357203208379,"humanities"
"n","int",83937.912589111,14.4753438271278,"humanities"
"n","us",98759.5258717152,15.9721989121762,"humanities"
"n","int",74098.06589586,16.0122218742037,"humanities"
"n","int",92204.459339835,17.5301170315619,"humanities"
"n","us",54790.1135267398,7.39207449439023,"humanities"
"n","us",101285.262792423,9.71188822630017,"humanities"
"y","us",110675.012714612,11.3660570294471,"humanities"
"n","us",95385.6247032122,12.2979411662021,"humanities"
"n","us",46841.478900304,14.6826999355844,"humanities"
"y","int",103337.212320714,15.5587885916999,"humanities"
"n","int",101271.651031838,17.2534493951847,"humanities"
"y","us",119905.403004321,23.0685445658481,"humanities"
"n","us",96065.9762678976,11.045028782631,"humanities"
"y","us",128888.490324911,16.3403781906065,"humanities"
"n","us",116666.665764468,11.2682217346558,"humanities"
"y","us",102030.798570256,14.098682285497,"humanities"
"y","int",103492.779442289,11.5064955036028,"humanities"
"n","int",103066.912856369,14.8332026695454,"humanities"
"n","us",115428.756901566,13.613218537782,"humanities"
"n","us",100429.779531597,15.538079813095,"humanities"
"n","us",105485.338678098,17.0271535130053,"humanities"
"n","int",112847.790016026,9.95957432420042,"humanities"
"n","int",80561.9974385799,12.7234038763032,"humanities"
"n","int",75402.767402458,12.96316230555,"humanities"
"n","us",48833.7239243504,11.0594328762905,"humanities"
"n","us",104470.288314884,10.8914804294004,"humanities"
"n","us",111403.04755868,22.2070184790259,"humanities"
"y","int",80467.5208952806,16.8587867026205,"humanities"
"n","int",68597.5815577934,18.1241871137665,"humanities"
"y","us",115834.941087136,12.7248568890722,"humanities"
"y","int",68568.3323636648,6.87069365021423,"humanities"
"n","int",82245.6122749092,17.137526102757,"humanities"
"n","int",121531.24053028,17.2028482706988,"humanities"
"n","us",53250.9695701395,6.91636864867205,"humanities"
"y","int",87310.2684419054,22.7257819348075,"humanities"
"n","int",71614.138772945,17.8364258668683,"humanities"
"y","us",82420.1951758113,17.722379387312,"humanities"
